Topik / Pertanyaan,Jawaban / Informasi SOP
jadwal poli kandungan ,senin sd kamis jam 08.00 wib -09.00 wib dan sabtu jam 10.00 wib -11.00 wib
jadwal poli penyakit dalam,senin sd kamis jam 17.00 sd 19.00 dan sabtu jam 07 sd selesai
jadwal poli gigi executive ,senin sd sabtu jam 09.00 sd 14.00 dan jam 16.00 sd 21.00
"poli gigi bpjs, jika ada yang menanyakan poly gigi bpjs jangan disuruh daftar langsung, tapi arahkan untuk menggunakan JKN Mobile, dan pendaftaran tidak bisa offline atau ke klinik","senin & kamis jam 09.00 16.00 dan selasa,rabu,jumat, sabtu jam 09.00 sd 12.00 wib dan malam jam 18.00 sd 21.00"
poli KIA, setiap hari jam 08.00 sd 21.00
Poli Dokter Spesialis Keluarga,Senin - Rabu jam 08:00 - 12:00
jadwal treatment baby & mom spa,setiap hari dengan perjanjian
jadwal poli psikolog,setiap hari dengan perjanjian
jadwal poli wicara,senin sd kamis jam 15.00 wib
jadwal khitan,dengan perjanjian
UGD BUKA ,24 JAM
jadwal poli fisiorerapi,"senin sd jumat pagi jam 08.00 -15.00 dan malam jam 18.00 - 21.00, sabtu & minggu dengan perjanjian"
Home Care,"Bisa selain BPJS, "
jika ada yang menanyakan poli gigi bpjs ,wajib daftar di jkn online
Jika pasien Komplain tidak bisa daftar JKN online poli Gigi,mohon maaf. karena klinik tidak bisa menambah kuota. Slot Kuota dari BPJS. Mohon maaf atas ketidak nyamanan. 
jika pasien ingin menanyakan pendaftaran baby spa kirim utuh formulir pendaftran baby spa,"✨*NAFILA Mom and Baby Care*✨

Untuk registrasi, silahkan mengisi form reservasi dulu ya bunda🥰

Nama:
Tempat, Tanggal Lahir: 
Usia: 
Agama:
Alamat Lengkap: 
Keluhan Saat Ini:
Pilihan Treatment:
Alergi Oil:
Riwayat Penyakit:

Jadwal Treatment 
🗓️ Hari/Tanggal: 
⏰ Jam: 

Terimakasih atas kepercayaannya 🥰"
jika pasien ingin menanyakan pendaftaran sunat kirim utuh formulir pedaftaran sunat,"formulir pendaftarn sunat*Skirining khitan / sunat jawab ya atau tidak*

Nama : 
Umur : 
Tb/BB : 
Nama Orangtua : 
Tlp : 
Hari sunat : 
Jam sunat : 


1. Apakah ada riwayat jatoh dan berdarah lama? 


2. Adakah riwayat anak
 sakit gula? 


3. Adakah riwayat tambah darah / tranfusi darah? 


4. Adakah riwayat alergi obat ? 


5. Adakah riwayat oprasi dalam 3 bulan terakhir? 


6. Apakah anak ketika buang air kecil terasa nyeri? 


7. Adakah luka pada bagian kemaluan ? 


8. Adakah terasa nyeri saat kemaluan anak tegang? 


9. Adakah buah jakar anak terasa membesar ? 

 
10 adakah anak ketika buang air kecil air nya tidak mancur ke depan ? 


11. Riwayat Penyakit Asma? 


12. Riwayat penyakit jantung?


Note : 
BB / TB
Orangtua dan TLP
Kirim foto anak 😊🙏"
JIKA CUST BILANG TERIMAKASIH JANGAN DITANYA LAGI,"dengan senang hati, kasih emoticon senyum"
pengklaiman USG yang bisa dicover bpjs,"USG KLAIM BPJS
Faskes 1 di Klinik Nafila Medika
2x USG dengan dr. isda / dr. Dylan
1. Trimester 1 ( usia kehamilan 8-12minggu )
2. Trimester 3 ( usia kehamilan 32-36minggu )"
jadwal imunisasi,"JADWAL IMUNISASI DASAR (DPT, POLIO TETES, PCV, ROTAVIRUS, IPV)
Setiap hari Sabtu 
Jam 08.00-12.00

KHUSUS BCG DAN CAMPAK
Setiap hari Sabtu jam 08.00-12.00 ( di minggu kedua )
tapi konfirmasi terlebih dahulu untuk ketersediaan vaksin ke nomer  6285210710328"
JADWAL SENAM HAMIL,"Setiap Minggu
Jam 09.00 - selesai"
JADWAL USG BPJS DOKTER UMUM," dr. Isda Laily
Setiap hari
Pagi jam 06.00-08.00
Malam jam 17.00-21.00
( dengan perjanjian )"
PEMBUATAN SURAT SEHAT / KIR DOKTER,"Bisa selain BPJS, "
PENDAFTARAN GIGI BPJS MELALUI JKN MOBILE,"PENDAFTARAN MELALUI JKN MOBILE H-1, Pilih tanggal kunjungan (BESOK), kemudian pilih dokter gigi dan jam praktik yang tersedia. Sistem akan menampilkan ketersediaan KUOTA untuk setiap dokter."
kuota gigi bpjs,pagi dan siang 18 pasien
,
"untuk rujukan bpjs, tidakl bisa di hari minggu dan tanggal merah dikarenakan sistem off ","terkait rujukan bisa hubungi petugas casmix kami , +6282216368421 (bd sri) 
tapi Jarvis Wa in juga ya data pasien nya ke bd sri, ok"
Setiap penutup balesan dari customer,jawab dengan Dengan senang hati dan emot 
